sensor_id,component_name,component_id,sensor_type,unit_of_measure,iso_alarm_threshold,iso_danger_threshold,total_readings,n_anomalies,n_danger_zone,anomaly_rate,anomaly_pct,danger_rate_pct,avg_value,min_value,max_value,zone_a_pct,zone_b_pct,zone_c_pct,zone_d_pct,anomaly_status,cascade_anomalies,intrinsic_anomalies
41,Coupling,4,vibration,mm/s_rms,4.5,7.1,4375,3840,3589,0.8777,87.77,82.03,13.567,0.6854,19.7603,12.1,0.1,5.7,82.0,HIGH_RISK,3840,0
51,Gearbox,5,vibration,mm/s_rms,4.5,7.1,4354,3785,3712,0.8693,86.93,85.25,13.7752,1.1011,19.85,10.9,2.2,1.7,85.3,HIGH_RISK,3784,1
32,"Motor Housing",3,vibration,mm/s_rms,4.5,7.1,4347,3453,3172,0.7943,79.43,72.97,6.9096,0.3418,12.0913,17.1,3.5,6.5,73.0,HIGH_RISK,3450,3
21,Shaft,2,vibration,mm/s_rms,4.5,7.1,4381,3479,3099,0.7941,79.41,70.74,6.4447,0.4976,8.4981,18.7,1.9,8.7,70.7,HIGH_RISK,3479,0
12,Bearing,1,temperature,degC,80.0,100.0,4365,46,0,0.0105,1.05,0.0,70.911,62.9465,83.5367,0.0,0.0,0.0,0.0,LOW,0,46
53,Gearbox,5,temperature,degC,90.0,110.0,4354,26,0,0.006,0.6,0.0,76.3384,67.1614,93.0305,0.0,0.0,0.0,0.0,LOW,0,26
31,"Motor Housing",3,temperature,degC,130.0,155.0,4347,22,0,0.0051,0.51,0.0,111.9272,103.5172,132.9014,0.0,0.0,0.0,0.0,LOW,0,22
11,Bearing,1,vibration,mm/s_rms,4.5,7.1,4365,16,0,0.0037,0.37,0.0,1.489,0.6508,4.7466,88.6,11.0,0.4,0.0,LOW,0,16
52,Gearbox,5,oil_debris,count,50.0,200.0,4354,7,0,0.0016,0.16,0.0,14.3038,8.3674,52.4222,0.0,0.0,0.0,0.0,LOW,0,7
42,Coupling,4,load,pct,90.0,100.0,4375,5,0,0.0011,0.11,0.0,76.3207,70.78,91.16,0.0,0.0,0.0,0.0,LOW,0,5
22,Shaft,2,rpm,rpm,,,4381,0,0,0.0,0.0,0.0,1479.9624,1462.53,1498.11,0.0,0.0,0.0,0.0,NO_THRESHOLD,0,0
