component_id,component_name,shift_id,shift_date,shift_label,availability_pct,performance_pct,quality_pct,planned_duration_min,total_downtime_min,run_time_min,total_units,good_units,defective_units,rework_units,oee,oee_pct,oee_status,loss_availability_pp,loss_performance_pp,loss_quality_pp
1,Bearing,1,2026-07-20,DAY,100.0,100.0,98.0,480.0,0.0,480.0,999,979,12,8,0.97997997997998,98.0,WORLD_CLASS,0.0,0.0,2.0
1,Bearing,6,2026-07-20,SWING,100.0,93.85,97.89,480.0,0.0,480.0,901,882,12,7,0.91875,91.88,WORLD_CLASS,0.0,6.15,1.98
1,Bearing,11,2026-07-20,NIGHT,100.0,96.56,97.95,480.0,0.0,480.0,927,908,12,7,0.945833333333333,94.58,WORLD_CLASS,0.0,3.44,1.98
2,Shaft,2,2026-07-20,DAY,100.0,97.87,98.98,480.0,0.0,480.0,783,775,5,3,0.96875,96.87,WORLD_CLASS,0.0,2.13,1.0
2,Shaft,7,2026-07-20,SWING,95.91,92.67,98.87,480.0,19.64,460.36,711,703,5,3,0.87875,87.87,WORLD_CLASS,4.09,7.03,1.0
2,Shaft,12,2026-07-20,NIGHT,100.0,94.62,98.94,480.0,0.0,480.0,757,749,5,3,0.93625,93.62,WORLD_CLASS,0.0,5.38,1.0
3,"Motor Housing",3,2026-07-20,DAY,100.0,99.03,97.48,480.0,0.0,480.0,713,695,11,7,0.965277777777778,96.53,WORLD_CLASS,0.0,0.97,2.5
3,"Motor Housing",8,2026-07-20,SWING,100.0,99.44,97.49,480.0,0.0,480.0,716,698,11,7,0.969444444444444,96.94,WORLD_CLASS,0.0,0.56,2.5
3,"Motor Housing",13,2026-07-20,NIGHT,100.0,100.0,97.39,480.0,0.0,480.0,728,709,12,7,0.973901098901099,97.39,WORLD_CLASS,0.0,0.0,2.61
4,Coupling,4,2026-07-20,DAY,100.0,98.07,98.49,480.0,0.0,480.0,863,850,8,5,0.965909090909091,96.59,WORLD_CLASS,0.0,1.93,1.48
4,Coupling,9,2026-07-20,SWING,100.0,91.25,98.38,480.0,0.0,480.0,803,790,8,5,0.897727272727273,89.77,WORLD_CLASS,0.0,8.75,1.48
4,Coupling,14,2026-07-20,NIGHT,100.0,97.61,98.49,480.0,0.0,480.0,859,846,8,5,0.961363636363636,96.14,WORLD_CLASS,0.0,2.39,1.48
5,Gearbox,5,2026-07-20,DAY,100.0,98.91,97.0,480.0,0.0,480.0,633,614,12,7,0.959375,95.94,WORLD_CLASS,0.0,1.09,2.97
5,Gearbox,10,2026-07-20,SWING,100.0,95.0,96.88,480.0,0.0,480.0,608,589,12,7,0.9203125,92.03,WORLD_CLASS,0.0,5.0,2.97
5,Gearbox,15,2026-07-20,NIGHT,100.0,99.38,96.86,480.0,0.0,480.0,636,616,12,8,0.9625,96.25,WORLD_CLASS,0.0,0.62,3.12
1,Bearing,16,2026-07-21,DAY,96.33,94.84,97.95,480.0,17.62,462.38,877,859,11,7,0.894791666666667,89.48,WORLD_CLASS,3.67,4.98,1.87
1,Bearing,21,2026-07-21,SWING,95.93,100.0,97.97,480.0,19.55,460.45,936,917,12,7,0.939798455306268,93.98,WORLD_CLASS,4.07,0.0,1.95
1,Bearing,26,2026-07-21,NIGHT,100.0,100.0,97.96,480.0,0.0,480.0,978,958,12,8,0.979550102249489,97.96,WORLD_CLASS,0.0,0.0,2.04
2,Shaft,17,2026-07-21,DAY,95.48,96.09,98.91,480.0,21.69,458.31,734,726,5,3,0.9075,90.75,WORLD_CLASS,4.52,3.73,1.0
2,Shaft,22,2026-07-21,SWING,100.0,100.0,98.88,480.0,0.0,480.0,806,797,6,3,0.988833746898263,98.88,WORLD_CLASS,0.0,0.0,1.12
2,Shaft,27,2026-07-21,NIGHT,100.0,100.0,98.9,480.0,0.0,480.0,815,806,6,3,0.988957055214724,98.9,WORLD_CLASS,0.0,0.0,1.1
3,"Motor Housing",18,2026-07-21,DAY,100.0,100.0,97.42,480.0,0.0,480.0,737,718,12,7,0.974219810040706,97.42,WORLD_CLASS,0.0,0.0,2.58
3,"Motor Housing",23,2026-07-21,SWING,100.0,100.0,97.38,480.0,0.0,480.0,724,705,12,7,0.973756906077348,97.38,WORLD_CLASS,0.0,0.0,2.62
